month_year,avg_sentiment
2020-11,0.38708
2020-12,0.12836865079365078
2021-01,0.392013962264151
2021-02,0.3062120743034056
2021-03,0.4747054054054054
2021-04,0.6552104575163399
2021-05,0.5156311239193084
2021-06,0.3255621359223301
2021-07,0.44285857988165683
2021-08,0.48106109324758844
2021-09,0.10031242937853106
2021-10,0.2667301652892562
2021-11,0.37845757575757577
2021-12,0.40695808080808077
2022-01,0.39036625310173695
2022-02,0.22218738938053098
2022-03,0.023535059760956174
2022-04,-0.008931363636363638
2022-05,0.1462711213517665
2022-06,-0.019610016155088852
2022-07,-0.005475680272108842
2022-08,0.15778722786647315
2022-09,0.23081327913279134
2022-10,0.25260471698113207
2022-11,0.10337738619676946
2022-12,0.0075714046822742435
2023-01,0.24961849056603772
2023-02,0.38733964143426297
2023-03,0.4366547297297297
2023-04,0.368210705596107
2023-05,0.4253476
2023-06,0.4022660447761194
2023-07,0.4576248106060606
2023-08,0.3766893656716418
2023-09,0.30937427466150874
2023-10,0.24412836734693877
2023-11,0.4452671641791045
2023-12,0.38817124463519315
2024-01,0.42806975308641976
2024-02,0.40376725888324877
2024-03,0.3737110869565218
2024-04,0.4209725
2024-05,0.4788685792349727
2024-06,0.5128932944606415
2024-07,0.5880966101694916
2024-08,0.17245087719298244
2024-09,0.43274051948051945
2024-10,0.5124222453222453
2024-11,0.5565593516209476
2024-12,0.40504736842105266
2025-01,0.4343804651162791
2025-02,0.42902500000000005
2025-03,0.28016408977556106
2025-04,0.015977287066246057
2025-05,0.3790315340909091
2025-06,0.30449385113268607
2025-07,0.36728102981029814
2025-08,0.16726833773087071
2025-09,0.33085295698924727
2025-10,0.4025365384615385
2025-11,0.9883
